ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.883,0.844,0.407,0.735,0.524,0.142,0.265,2.114,32,0.8,0.001,1.0,1.0
0.887,0.824,0.379,0.786,0.511,0.171,0.214,2.114,32,0.8,0.001,2.0,1.0
0.898,0.825,0.383,0.811,0.52,0.173,0.189,2.114,32,0.8,0.003,0.5,1.0
0.895,0.762,0.315,0.882,0.464,0.254,0.118,2.114,32,0.8,0.003,1.0,1.0
0.901,0.81,0.366,0.847,0.511,0.195,0.153,2.114,32,0.8,0.003,2.0,1.0
0.905,0.836,0.401,0.815,0.537,0.162,0.185,2.114,32,0.8,0.005,0.5,1.0
0.901,0.797,0.349,0.854,0.496,0.211,0.146,2.114,32,0.8,0.005,1.0,1.0
0.902,0.812,0.368,0.836,0.511,0.191,0.164,2.114,32,0.8,0.005,2.0,1.0
0.884,0.815,0.368,0.808,0.506,0.184,0.192,1.058,32,1.1,0.001,0.5,1.0
0.885,0.829,0.385,0.775,0.514,0.164,0.225,1.058,32,1.1,0.001,1.0,1.0
0.883,0.776,0.324,0.845,0.469,0.233,0.155,1.058,32,1.1,0.001,2.0,1.0
0.897,0.819,0.375,0.823,0.516,0.182,0.177,1.058,32,1.1,0.003,0.5,1.0
0.897,0.865,0.45,0.695,0.546,0.113,0.305,1.058,32,1.1,0.003,1.0,1.0
0.899,0.854,0.431,0.76,0.55,0.133,0.24,1.058,32,1.1,0.003,2.0,1.0
0.904,0.814,0.37,0.838,0.514,0.189,0.162,1.058,32,1.1,0.005,0.5,1.0
0.901,0.767,0.321,0.892,0.472,0.25,0.108,1.058,32,1.1,0.005,1.0,1.0
0.9,0.785,0.339,0.877,0.489,0.227,0.123,1.058,32,1.1,0.005,2.0,1.0
0.883,0.79,0.339,0.839,0.483,0.216,0.161,0.643,32,1.5,0.001,0.5,1.0
0.882,0.818,0.371,0.795,0.506,0.179,0.205,0.643,32,1.5,0.001,1.0,1.0
0.88,0.845,0.408,0.726,0.522,0.14,0.274,0.643,32,1.5,0.001,2.0,1.0
0.897,0.81,0.364,0.829,0.506,0.192,0.171,0.643,32,1.5,0.003,0.5,1.0
