ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.895,0.839,0.403,0.775,0.53,0.152,0.225,inf,128,0.0,0.001,0.0,0.5
0.893,0.837,0.398,0.772,0.525,0.155,0.228,inf,128,0.0,0.003,0.0,0.5
0.897,0.839,0.404,0.792,0.535,0.155,0.208,inf,128,0.0,0.005,0.0,0.5
0.776,0.689,0.229,0.702,0.346,0.313,0.298,2.114,16,0.8,0.001,0.5,0.5
0.758,0.691,0.226,0.674,0.338,0.306,0.326,2.114,16,0.8,0.001,1.0,0.5
0.736,0.688,0.216,0.635,0.322,0.305,0.365,2.114,16,0.8,0.001,2.0,0.5
0.852,0.871,0.459,0.56,0.505,0.087,0.44,2.114,16,0.8,0.003,0.5,0.5
0.742,0.686,0.221,0.665,0.331,0.311,0.335,2.114,16,0.8,0.003,1.0,0.5
0.761,0.725,0.246,0.652,0.357,0.265,0.348,2.114,16,0.8,0.003,2.0,0.5
0.873,0.875,0.471,0.581,0.52,0.087,0.419,2.114,16,0.8,0.005,0.5,0.5
0.816,0.839,0.376,0.574,0.454,0.126,0.426,2.114,16,0.8,0.005,1.0,0.5
0.78,0.697,0.234,0.701,0.351,0.303,0.299,2.114,16,0.8,0.005,2.0,0.5
0.745,0.688,0.222,0.667,0.333,0.309,0.333,1.058,16,1.1,0.001,0.5,0.5
0.795,0.725,0.256,0.707,0.376,0.272,0.293,1.058,16,1.1,0.001,1.0,0.5
0.751,0.691,0.224,0.666,0.335,0.306,0.334,1.058,16,1.1,0.001,2.0,0.5
0.721,0.739,0.232,0.531,0.323,0.233,0.469,1.058,16,1.1,0.003,0.5,0.5
0.882,0.853,0.422,0.703,0.528,0.127,0.297,1.058,16,1.1,0.003,1.0,0.5
0.757,0.753,0.26,0.604,0.364,0.227,0.396,1.058,16,1.1,0.003,2.0,0.5
0.88,0.847,0.411,0.72,0.524,0.137,0.28,1.058,16,1.1,0.005,0.5,0.5
0.863,0.877,0.479,0.543,0.509,0.078,0.457,1.058,16,1.1,0.005,1.0,0.5
0.875,0.86,0.437,0.668,0.528,0.114,0.332,1.058,16,1.1,0.005,2.0,0.5
0.724,0.654,0.204,0.674,0.313,0.349,0.326,0.643,16,1.5,0.001,0.5,0.5
0.743,0.683,0.219,0.666,0.33,0.315,0.334,0.643,16,1.5,0.001,1.0,0.5
0.76,0.695,0.23,0.681,0.343,0.303,0.319,0.643,16,1.5,0.001,2.0,0.5
0.865,0.848,0.412,0.691,0.516,0.131,0.309,0.643,16,1.5,0.003,0.5,0.5
0.794,0.817,0.336,0.583,0.427,0.152,0.417,0.643,16,1.5,0.003,1.0,0.5
0.877,0.853,0.423,0.698,0.527,0.126,0.302,0.643,16,1.5,0.003,2.0,0.5
0.878,0.881,0.492,0.566,0.526,0.078,0.434,0.643,16,1.5,0.005,0.5,0.5
0.797,0.82,0.34,0.57,0.426,0.146,0.43,0.643,16,1.5,0.005,1.0,0.5
0.863,0.859,0.431,0.63,0.512,0.11,0.37,0.643,16,1.5,0.005,2.0,0.5
0.775,0.726,0.251,0.674,0.366,0.267,0.326,0.449,16,2.0,0.001,0.5,0.5
0.779,0.722,0.247,0.674,0.362,0.272,0.326,0.449,16,2.0,0.001,1.0,0.5
0.769,0.699,0.233,0.689,0.349,0.3,0.311,0.449,16,2.0,0.001,2.0,0.5
0.766,0.737,0.254,0.644,0.364,0.251,0.356,0.449,16,2.0,0.003,0.5,0.5
0.868,0.881,0.492,0.555,0.521,0.076,0.445,0.449,16,2.0,0.003,1.0,0.5
0.85,0.866,0.444,0.578,0.502,0.096,0.422,0.449,16,2.0,0.003,2.0,0.5
0.838,0.883,0.5,0.414,0.453,0.055,0.586,0.449,16,2.0,0.005,0.5,0.5
0.865,0.887,0.519,0.486,0.502,0.06,0.514,0.449,16,2.0,0.005,1.0,0.5
0.874,0.875,0.474,0.578,0.52,0.085,0.422,0.449,16,2.0,0.005,2.0,0.5
0.744,0.67,0.214,0.678,0.325,0.331,0.322,2.763,32,0.8,0.001,0.5,0.5
